Name
"E:D Market Connector [Windows]"
"EDAPI Trade Dangerous Plugin"
"E:D Market Connector [Mac OS]"
"ED-IBE (API)"
"EVA [iPad]"
"EVA [iPhone]"
"EVA [Android]"
